PSize;OD;thk
DN100_4";114.3;11.13
DN125_5";141.3;12.7
DN150_6";168.27;14.27
DN200_8";219.07;18.26
DN250_10";273.05;21.44
DN300_12";323.85;25.4
DN350_14";355.6;27.79
DN400_16";406.4;30.96
DN450_18";457.2;34.92
DN500_20";508;38.1
DN550_22";558.8;41.28
DN600_24";609.6;46.02
