PSize;VType;H;Kv;Conn;TopH;WheelD
DN15;Needle_MS02_OSY_RF;116;0;900lb;131.4;65
DN20;Needle_MS02_OSY_RF;121;0;900lb;136.7;70
DN25;Needle_MS02_OSY_RF;131;0;900lb;147;80
DN40;Needle_MS02_OSY_RF;146;0;900lb;163;100
DN50;Needle_MS02_OSY_RF;165;0;900lb;182;115
