PSize;OD;thk
DN200_8";219.07;15.09
DN250_10";273.05;18.26
DN300_12";323.85;21.44
DN350_14";355.6;23.83
DN400_16";406.4;26.19
DN450_18";457.2;29.36
DN500_20";508;32.54
DN550_22";558.8;34.92
DN600_24";609.6;38.89
