PSize;VType;H;Kv;Conn;TopH;WheelD
DN15;Needle_MS02_OSY_RF;103;0;600lb;116.8;65
DN20;Needle_MS02_OSY_RF;115;0;600lb;129.6;70
DN25;Needle_MS02_OSY_RF;118;0;600lb;133;80
DN40;Needle_MS02_OSY_RF;134;0;600lb;150.2;100
DN50;Needle_MS02_OSY_RF;139;0;600lb;155.5;115
