PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Globe_API623_RF;368;0;1500lb;660;350
DN65;Globe_API623_RF;419;0;1500lb;660;350
DN80;Globe_API623_RF;470;0;1500lb;770;500
DN100;Globe_API623_RF;546;0;1500lb;850;560
DN150;Globe_API623_RF;705;0;1500lb;1145;610
DN200;Globe_API623_RF;832;0;1500lb;1345;610
