PSize;OD;thk
DN6_1/8";10.29;1.24
DN8_1/4";13.72;1.65
DN10_3/8";17.14;1.65
DN15_1/2";21.34;2.11
DN20_3/4";26.67;2.11
DN25_1";33.4;2.77
DN32_1-1/4";42.16;2.77
DN40_1-1/2";48.26;2.77
DN50_2";60.32;2.77
DN65_2-1/2";73.02;3.05
DN80_3";88.9;3.05
DN90_3-1/2";101.6;3.05
DN100_4";114.3;3.05
DN125_5";141.3;3.4
DN150_6";168.27;3.4
DN200_8";219.07;3.76
DN250_10";273.05;4.19
DN300_12";323.85;4.57
DN350_14";355.6;6.35
DN400_16";406.4;6.35
DN450_18";457.2;6.35
DN500_20";508;6.35
DN600_24";609.6;6.35
