PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Globe_API623_RF;292;0;600lb;462;250
DN65;Globe_API623_RF;330;0;600lb;540;250
DN80;Globe_API623_RF;356;0;600lb;585;350
DN100;Globe_API623_RF;432;0;600lb;670;450
DN150;Globe_API623_RF;559;0;600lb;886;500
DN200;Globe_API623_RF;660;0;600lb;932;640
DN250;Globe_API623_RF;787;0;600lb;1040;610
DN300;Globe_API623_RF;838;0;600lb;1280;610
