PSize;VType;H;Kv;Conn;TopH;WheelD
DN15;Needle_MS02_OSY_RF;100;0;150lb;113;65
DN20;Needle_MS02_OSY_RF;105;0;150lb;118.8;70
DN25;Needle_MS02_OSY_RF;110;0;150lb;124.2;80
DN40;Needle_MS02_OSY_RF;120;0;150lb;135;100
DN50;Needle_MS02_OSY_RF;132;0;150lb;148.7;115
