PSize;OD;thk
DN6_1/8";10.29;1.45
DN8_1/4";13.72;1.85
DN10_3/8";17.14;1.85
DN15_1/2";21.34;2.41
DN20_3/4";26.67;2.41
DN25_1";33.4;2.9
DN32_1-1/4";42.16;2.97
DN40_1-1/2";48.26;3.18
DN50_2";60.32;3.18
DN65_2-1/2";73.02;4.78
DN80_3";88.9;4.78
DN90_3-1/2";101.6;4.78
DN100_4";114.3;4.78
DN200_8";219.07;7.04
DN250_10";273.05;7.8
DN300_12";323.85;8.38
DN350_14";355.6;9.52
DN400_16";406.4;9.52
DN450_18";457.2;11.13
DN500_20";508;12.7
DN550_22";558.8;12.7
DN600_24";609.6;14.27
