PSize;OD;thk
DN6_1/8";10.29;2.41
DN8_1/4";13.72;3.02
DN10_3/8";17.14;3.2
DN15_1/2";21.34;3.73
DN20_3/4";26.67;3.91
DN25_1";33.4;4.55
DN32_1-1/4";42.16;4.85
DN40_1-1/2";48.26;5.08
DN50_2";60.32;5.54
DN65_2-1/2";73.02;7.01
DN80_3";88.9;7.62
DN90_3-1/2";101.6;8.08
DN100_4";114.3;8.56
DN125_5";141.3;9.52
DN150_6";168.27;10.97
DN200_8";219.07;12.7
DN250_10";273.05;12.7
DN300_12";323.85;12.7
DN350_14";355.6;12.7
DN450_18";457.2;12.7
DN500_20";508;12.7
DN550_22";558.8;12.7
