PSize;OD;thk
DN200_8";219.07;10.31
DN250_10";273.05;12.7
DN300_12";323.85;14.27
DN350_14";355.6;15.09
DN400_16";406.4;16.66
DN450_18";457.2;19.05
DN500_20";508;20.62
DN550_22";558.8;22.22
DN600_24";609.6;24.61
