PSize;OD;thk
DN6_1/8";10.29;4.83
DN8_1/4";13.72;6.05
DN10_3/8";17.14;6.4
DN15_1/2";21.34;7.47
DN20_3/4";26.67;7.82
DN25_1";33.4;9.09
DN32_1-1/4";42.16;9.7
DN40_1-1/2";48.26;10.16
DN50_2";60.32;11.07
DN65_2-1/2";73.02;14.02
DN80_3";88.9;15.24
DN100_4";114.3;17.12
DN125_5";141.3;19.05
DN150_6";168.27;21.95
DN200_8";219.07;22.22
DN250_10";273.05;25.4
DN300_12";323.85;25.4
