PSize;OD;thk
DN6_1/8";10.29;1.73
DN8_1/4";13.72;2.24
DN10_3/8";17.14;2.31
DN15_1/2";21.34;2.77
DN20_3/4";26.67;2.87
DN25_1";33.4;3.38
DN32_1-1/4";42.16;3.56
DN40_1-1/2";48.26;3.68
DN50_2";60.32;3.91
DN65_2-1/2";73.02;5.16
DN80_3";88.9;5.49
DN90_3-1/2";101.6;5.74
DN100_4";114.3;6.02
DN125_5";141.3;6.55
DN150_6";168.27;7.11
DN200_8";219.07;8.18
DN250_10";273.05;7.8
DN300_12";323.85;9.52
DN350_14";355.6;9.52
DN400_16";406.4;9.52
DN450_18";457.2;9.52
DN500_20";508;9.52
DN550_22";558.8;9.52
