PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Globe_API623_RF;368;0;900lb;600;350
DN65;Globe_API623_RF;419;0;900lb;660;350
DN80;Globe_API623_RF;381;0;900lb;665;450
DN100;Globe_API623_RF;457;0;900lb;800;500
DN150;Globe_API623_RF;610;0;900lb;1108;610
DN200;Globe_API623_RF;737;0;900lb;1184;610
