PSize;OD;thk
DN200_8";219.07;20.62
DN250_10";273.05;25.4
DN300_12";323.85;28.58
DN350_14";355.6;31.75
DN400_16";406.4;36.53
DN450_18";457.2;39.67
DN500_20";508;44.45
DN550_22";558.8;47.62
DN600_24";609.6;52.37
