PSize;OD;thk
DN15;21.34;5.54
DN20;26.67;5.74
DN25;33.4;6.76
DN32;42.16;7.11
DN40;48.26;7.37
DN50;60.32;7.82
DN65;73.02;10.31
DN80;88.9;10.97
DN90;101.6;11.48
DN100;114.3;12.04
DN125;141.3;13.11
DN150;168.27;14.22
DN200;219.07;16.35
DN250;273.05;18.54
DN300;323.85;20.62
DN350;355.6;22.25
DN400;406.4;25.4
DN450;457.2;28.55
DN500;508;30.12
DN600;609.6;34.9
