PSize;OD;thk
DN200_8";219.07;6.35
DN250_10";273.05;6.35
DN300_12";323.85;6.35
DN350_14";355.6;7.92
DN400_16";406.4;7.92
DN450_18";457.2;7.92
DN500_20";508;9.52
DN550_22";558.8;9.52
DN600_24";609.6;9.52
