PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Globe_API623_RF;203;0;150lb;345;200
DN65;Globe_API623_RF;216;0;150lb;415;200
DN80;Globe_API623_RF;241;0;150lb;405;250
DN100;Globe_API623_RF;292;0;150lb;485;300
DN150;Globe_API623_RF;406;0;150lb;520;350
DN200;Globe_API623_RF;495;0;150lb;600;450
DN250;Globe_API623_RF;622;0;150lb;762;500
DN300;Globe_API623_RF;698;0;150lb;862;640
DN350;Globe_API623_RF;787;0;150lb;980;640
DN400;Globe_API623_RF;914;0;150lb;1195;610
DN450;Globe_API623_RF;978;0;150lb;1300;610
