PSize;OD;thk
DN15_1/2";21.34;1.65
DN20_3/4";26.67;1.65
DN25_1";33.4;1.65
DN32_1-1/4";42.16;1.65
DN40_1-1/2";48.26;1.65
DN50_2";60.32;1.65
DN65_2-1/2";73.02;2.11
DN80_3";88.9;2.11
DN90_3-1/2";101.6;2.11
DN100_4";114.3;2.11
DN125_5";141.3;2.77
DN150_6";168.27;2.77
DN200_8";219.07;2.77
DN250_10";273.05;3.4
DN300_12";323.85;3.96
DN350_14";355.6;3.96
DN400_16";406.4;4.19
DN450_18";457.2;4.19
DN500_20";508;4.78
DN600_24";609.6;5.54
